[MALE] was at the county fair .|||he saw a clown there and it scared him so much that he ran away .
[FEMALE] drew three designs for monsters for the school play .|||the first design was a large , ferocious-looking creature with spikes down its back and huge , sharp teeth . the second was a slimy , green monster with bulging eyes and a long , forked tongue . the third was a cute , little , pink monster with big , fluffy ears and a long , curly tail .
i decided to lose weight .|||i decided to lose weight because i was unhappy with my body . i wanted to feel better about myself and have more energy . i started by cutting out processed foods and eating more whole foods . i also began exercising regularly . it was hard in the beginning , but i soon started to see results . and now , i 'm happy with my body and i have more energy than ever .
[MALE] and [MALE] wanted to start a band .|||[MALE] and [MALE] found the perfect drummer . she was young and had a lot of energy . she was also very talented . the band was starting to sound great .
[NEUTRAL] went hunting for the first time .|||he saw a deer in the woods and took a shot . the deer ran away and he was left with a broken arrow .
[MALE] always got a ride to school from his mom .|||one morning , [MALE] woke up early and found that his mom had already left for work . he knew that she would be angry if he missed the bus , so he decided to run to school . unfortunately , [MALE] was not a very fast runner , and he arrived at school out of breath and sweaty .
the man invited his friend to church .|||the man 's friend was a bit hesitant at first but the man told him that it would be a good opportunity to learn more about god . the friend eventually agreed and they went to church together .
[MALE] drove to the store .|||[MALE] saw a police officer pulled over on the side of the road . [MALE] pulled over to see if the officer needed help . the officer told [MALE] to drive on and that he was just writing a ticket .
we went to get an ice cream as a family .|||my parents were always very supportive of my brother and me . when we would suggest going out for ice cream as a family , they would never say no . they would always come up with a way to make it work , even if it meant going out in the middle of the night .
the boy shot a basket .|||the boy shot a basket and then ran to the other end of the court .
[MALE] 's watch had broken .|||he needed to buy a new one but he did n't have time to go to the store . he found a watch on the internet that he liked and he ordered it . when it arrived , he found out that it was the wrong size .
[MALE] wanted to dry his laundry .|||he put it on the roof of his house [MALE] wanted to move to a new house . his wife [FEMALE] did not want to move . [MALE] convinced her to look at a couple new houses . she did not see any that she liked . [FEMALE] refused to move.[female] and her family were attending her grandpa 's funeral . [FEMALE] did not want to sit in the front row . she waited in the lobby till everyone was seated .
